Entity Name,Column Name,Column Type,Derivation Option,Display Derivation Expression,Effective Start Date,Status,Data Type,Decision Table Json,Conditional Json
FCT_NPA_PRODUCT,RESTRUCTURE_MONITORING_PERIOD,Temporary,Formula Expression,"IF(AND(ISNOTEMPTY(""FCT_NPA_PRODUCT"".""FK_FPM"".""MONITORING_PERIOD_END_DATE""),""FCT_NPA_PRODUCT"".""RESTRUCTURED_IND""==""Y""))THEN(DATEDIFF(""FCT_NPA_PRODUCT"".""FK_FPM"".""MONITORING_PERIOD_END_DATE"",""FCT_NPA_PRODUCT"".""var"".""BUSINESS_DATE"",""d""))ELSEIF(AND(ISEMPTY(""FCT_NPA_PRODUCT"".""FK_FPM"".""MONITORING_PERIOD_END_DATE""),""FCT_NPA_PRODUCT"".""RESTRUCTURED_IND""==""Y""))THEN(DATEDIFF(""FCT_NPA_PRODUCT"".""var"".""BUSINESS_DATE"",""FCT_NPA_PRODUCT"".""var"".""BUSINESS_DATE"",""d""))ELSE(0)",20-07-2026,ACTIVE,number,,
FCT_NPA_PRODUCT,COLLATERAL_AMT_CHECK,Temporary,Formula Expression,"IF(ISNOTEMPTY(""FCT_NPA_PRODUCT"".""COLLATERAL_AMT""))THEN(""TRUE"")ELSE(""FALSE"")",20-07-2026,ACTIVE,string,,
FCT_NPA_PRODUCT,BUSINESS_DATE,Temporary,Formula Expression,"TODATE(""FCT_NPA_PRODUCT"".""PERIOD_ID"")",20-07-2026,ACTIVE,datetime,,
FCT_NPA_PRODUCT,PREV_DAY_ASSET_CLASS_ID,Temporary,Formula Expression,"IF(AND(ISNOTEMPTY(""FCT_NPA_PRODUCT"".""FK_SPN"".""CROSS_NPA_DATE""),ISNOTEMPTY(""FCT_NPA_PRODUCT"".""FK_SPN"".""FREE_DATE_1"")))THEN(""FCT_NPA_PRODUCT"".""FK_SPN"".""RECLASS_ASSET_ID"")ELSE(1)",20-07-2026,ACTIVE,number,,
FCT_NPA_PRODUCT,ASSET_CLASS_DAYS,Temporary,Formula Expression,"IF(ISNOTEMPTY(""FCT_NPA_PRODUCT"".""FK_SPN"".""CLASSIFICATION_DATE""))THEN(DATEDIFF(""FCT_NPA_PRODUCT"".""var"".""BUSINESS_DATE"",""FCT_NPA_PRODUCT"".""FK_SPN"".""CLASSIFICATION_DATE"",""d"")+1)ELSEIF(ISNOTEMPTY(""FCT_NPA_PRODUCT"".""CLASSIFICATION_DATE""))THEN(DATEDIFF(""FCT_NPA_PRODUCT"".""var"".""BUSINESS_DATE"",""FCT_NPA_PRODUCT"".""CLASSIFICATION_DATE"",""d"")+1)ELSE(0)",20-07-2026,ACTIVE,number,,
FCT_PRODUCT_MASTER,BUSINESS_DATE,Temporary,Formula Expression,"TODATE(""FCT_PRODUCT_MASTER"".""PERIOD_ID"")",20-07-2026,ACTIVE,datetime,,
FCT_SMA_EVALUATION,SMA_GROUPING_ID,Physical,Decision Table,"IF((""FCT_SMA_EVALUATION"".""fK_FPM_AGG_SMA"".""MAX_DPD"") == 0) THEN(""1#@@#Standard"") ELSEIF((""FCT_SMA_EVALUATION"".""fK_FPM_AGG_SMA"".""MAX_DPD"") BETWEEN [1,30]) THEN(""2#@@#SMA 0"") ELSEIF((""FCT_SMA_EVALUATION"".""fK_FPM_AGG_SMA"".""MAX_DPD"") BETWEEN [31,60]) THEN(""3#@@#SMA 1"") ELSEIF((""FCT_SMA_EVALUATION"".""fK_FPM_AGG_SMA"".""MAX_DPD"") BETWEEN [61,90]) THEN(""4#@@#SMA 2"") ELSE(""1#@@#Default"")",20-07-2026,ACTIVE,number,"{""decisionTableDetails"":[{""derivedValue"":""STANDARD            "",""sequenceNumber"":1,""conditionName"":""Standard"",""conditionalLinksInfo"":[{""columnName"":""MAX_DPD"",""operator"":""=="",""rangeFrom"":"""",""rangeTo"":"""",""value"":""0"",""name"":""fK_FPM_AGG_SMA"",""type"":""REL"",""isFilterSet"":""""}]},{""derivedValue"":""SMA 0               "",""sequenceNumber"":2,""conditionName"":""SMA 0"",""conditionalLinksInfo"":[{""columnName"":""MAX_DPD"",""operator"":""BETWEEN"",""rangeFrom"":""1"",""rangeTo"":""30"",""value"":"""",""name"":""fK_FPM_AGG_SMA"",""type"":""REL"",""isFilterSet"":""""}]},{""derivedValue"":""SMA 1               "",""sequenceNumber"":3,""conditionName"":""SMA 1"",""conditionalLinksInfo"":[{""columnName"":""MAX_DPD"",""operator"":""BETWEEN"",""rangeFrom"":""31"",""rangeTo"":""60"",""value"":"""",""name"":""fK_FPM_AGG_SMA"",""type"":""REL"",""isFilterSet"":""""}]},{""derivedValue"":""SMA 2               "",""sequenceNumber"":4,""conditionName"":""SMA 2"",""conditionalLinksInfo"":[{""columnName"":""MAX_DPD"",""operator"":""BETWEEN"",""rangeFrom"":""61"",""rangeTo"":""90"",""value"":"""",""name"":""fK_FPM_AGG_SMA"",""type"":""REL"",""isFilterSet"":""""}]},{""derivedValue"":""STANDARD            "",""sequenceNumber"":5,""conditionName"":""Default"",""conditionalLinksInfo"":[]}],""decisionTableSelectedColumns"":[{""columnName"":""VERSION_NO"",""sequenceNumber"":46,""name"":""VERSION_NO"",""type"":""ENT""},{""columnName"":""DEPARTMENT_ID"",""sequenceNumber"":47,""name"":""DEPARTMENT_ID"",""type"":""ENT""},{""columnName"":""STD_PRODUCT_TYPE_ID"",""sequenceNumber"":48,""name"":""STD_PRODUCT_TYPE_ID"",""type"":""ENT""},{""columnName"":""CURRENCY_ID"",""sequenceNumber"":49,""name"":""CURRENCY_ID"",""type"":""ENT""},{""columnName"":""UNIFIED_CUSTOMER_ID"",""sequenceNumber"":50,""name"":""UNIFIED_CUSTOMER_ID"",""type"":""ENT""},{""columnName"":""UNIFIED_DATA_SOURCE_ID"",""sequenceNumber"":51,""name"":""UNIFIED_DATA_SOURCE_ID"",""type"":""ENT""},{""columnName"":""UNIFIED_CUSTOMER_DETAIL"",""sequenceNumber"":52,""name"":""UNIFIED_CUSTOMER_DETAIL"",""type"":""ENT""},{""columnName"":""PRODUCT_INSTANCE_BKEY"",""sequenceNumber"":53,""name"":""PRODUCT_INSTANCE_BKEY"",""type"":""ENT""},{""columnName"":""PRODUCT_SYSTEM"",""sequenceNumber"":54,""name"":""PRODUCT_SYSTEM"",""type"":""ENT""},{""columnName"":""SMA_ID"",""sequenceNumber"":55,""name"":""FK_SMA_GROUPING"",""type"":""REL""},{""columnName"":""SMA_TYPE"",""sequenceNumber"":56,""name"":""FK_SMA_GROUPING"",""type"":""REL""},{""columnName"":""SMA_CODE"",""sequenceNumber"":57,""name"":""FK_SMA_GROUPING"",""type"":""REL""},{""columnName"":""SMA_DESC"",""sequenceNumber"":58,""name"":""FK_SMA_GROUPING"",""type"":""REL""},{""columnName"":""SYSTEM_ENTRY_TIME"",""sequenceNumber"":59,""name"":""FK_SMA_GROUPING"",""type"":""REL""},{""columnName"":""SMA_PRIORITY"",""sequenceNumber"":60,""name"":""FK_SMA_GROUPING"",""type"":""REL""},{""columnName"":""PERIOD_ID"",""sequenceNumber"":61,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""PRODUCT_INSTANCE_ID"",""sequenceNumber"":62,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""IS_PERSIST"",""sequenceNumber"":63,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""SYSTEM_IDENTIFIER"",""sequenceNumber"":64,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""OLD_SMA_STATUS"",""sequenceNumber"":65,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""MODIFIED_SMA_STATUS"",""sequenceNumber"":66,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""PERSISTENCY_END_DATE"",""sequenceNumber"":67,""name"":""fK_SMA_PERSISTENCY"",""type"":""REL""},{""columnName"":""CUSTOMER_ID"",""sequenceNumber"":68,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""PERIOD_ID"",""sequenceNumber"":69,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""UNIFIED_CUSTOMER_ID"",""sequenceNumber"":70,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""LIMIT_DPD"",""sequenceNumber"":71,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""OVERDRAWN_DPD"",""sequenceNumber"":72,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""PRINCIPAL_DPD"",""sequenceNumber"":73,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""BILL_DPD"",""sequenceNumber"":74,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""DP_DPD"",""sequenceNumber"":75,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""INTEREST_DPD"",""sequenceNumber"":76,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""PAYLATER_DPD"",""sequenceNumber"":77,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""OUT_OF_ORDER_DPD"",""sequenceNumber"":78,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""DFS_DPD"",""sequenceNumber"":79,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_1"",""sequenceNumber"":80,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_2"",""sequenceNumber"":81,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_3"",""sequenceNumber"":82,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_4"",""sequenceNumber"":83,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_5"",""sequenceNumber"":84,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_6"",""sequenceNumber"":85,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_7"",""sequenceNumber"":86,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_8"",""sequenceNumber"":87,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_9"",""sequenceNumber"":88,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""FREE_DPD_10"",""sequenceNumber"":89,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_DPD"",""sequenceNumber"":90,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""TOTAL_OUTSTANDING_AMT"",""sequenceNumber"":91,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_1"",""sequenceNumber"":92,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_10"",""sequenceNumber"":93,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_2"",""sequenceNumber"":94,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_3"",""sequenceNumber"":95,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_4"",""sequenceNumber"":96,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_5"",""sequenceNumber"":97,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_6"",""sequenceNumber"":98,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_7"",""sequenceNumber"":99,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_8"",""sequenceNumber"":100,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""MAX_MIS_DPD_9"",""sequenceNumber"":101,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""COLLATERAL_AMOUNT"",""sequenceNumber"":102,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""COLLATERAL_TO_OUTSTNDING_RATIO"",""sequenceNumber"":103,""name"":""fK_FPM_AGG"",""type"":""REL""},{""columnName"":""CUSTOMER_ID"",""sequenceNumber"":104,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""PERIOD_ID"",""sequenceNumber"":105,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""FINAL_UNIFIED_CUSTOMER_ID"",""sequenceNumber"":106,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""LIMIT_DPD"",""sequenceNumber"":107,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""OVERDRAWN_DPD"",""sequenceNumber"":108,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""PRINCIPAL_DPD"",""sequenceNumber"":109,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""BILL_DPD"",""sequenceNumber"":110,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""STOCK_STATEMENT_DPD"",""sequenceNumber"":111,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""INTEREST_DPD"",""sequenceNumber"":112,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""PAYLATER_DPD"",""sequenceNumber"":113,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""OUT_OF_ORDER_DPD"",""sequenceNumber"":114,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""MAX_DPD"",""sequenceNumber"":115,""name"":""fK_FPM_AGG_SMA"",""type"":""REL""},{""columnName"":""DPD"",""sequenceNumber"":1,""name"":""DPD"",""type"":""ENT""},{""columnName"":""FREE_TEXT_1"",""sequenceNumber"":2,""name"":""FREE_TEXT_1"",""type"":""ENT""},{""columnName"":""FREE_TEXT_2"",""sequenceNumber"":3,""name"":""FREE_TEXT_2"",""type"":""ENT""},{""columnName"":""FREE_TEXT_3"",""sequenceNumber"":4,""name"":""FREE_TEXT_3"",""type"":""ENT""},{""columnName"":""FREE_TEXT_4"",""sequenceNumber"":5,""name"":""FREE_TEXT_4"",""type"":""ENT""},{""columnName"":""FREE_TEXT_5"",""sequenceNumber"":6,""name"":""FREE_TEXT_5"",""type"":""ENT""},{""columnName"":""FREE_TEXT_6"",""sequenceNumber"":7,""name"":""FREE_TEXT_6"",""type"":""ENT""},{""columnName"":""FREE_TEXT_7"",""sequenceNumber"":8,""name"":""FREE_TEXT_7"",""type"":""ENT""},{""columnName"":""FREE_TEXT_8"",""sequenceNumber"":9,""name"":""FREE_TEXT_8"",""type"":""ENT""},{""columnName"":""FREE_TEXT_9"",""sequenceNumber"":10,""name"":""FREE_TEXT_9"",""type"":""ENT""},{""columnName"":""FREE_TEXT_10"",""sequenceNumber"":11,""name"":""FREE_TEXT_10"",""type"":""ENT""},{""columnName"":""SMA_DATE"",""sequenceNumber"":12,""name"":""SMA_DATE"",""type"":""ENT""},{""columnName"":""CROSS_SMA_DATE"",""sequenceNumber"":13,""name"":""CROSS_SMA_DATE"",""type"":""ENT""},{""columnName"":""RECLASS_SMA_GROUPING_ID"",""sequenceNumber"":14,""name"":""RECLASS_SMA_GROUPING_ID"",""type"":""ENT""},{""columnName"":""OUTSTANDING_PRINCIPAL_AMT"",""sequenceNumber"":15,""name"":""OUTSTANDING_PRINCIPAL_AMT"",""type"":""ENT""},{""columnName"":""OUTSTANDING_INTEREST_AMT"",""sequenceNumber"":16,""name"":""OUTSTANDING_INTEREST_AMT"",""type"":""ENT""},{""columnName"":""OUTSTANDING_FEE_AMT"",""sequenceNumber"":17,""name"":""OUTSTANDING_FEE_AMT"",""type"":""ENT""},{""columnName"":""SMA_STATUS_REFERENCE"",""sequenceNumber"":18,""name"":""SMA_STATUS_REFERENCE"",""type"":""ENT""},{""columnName"":""USER_NAME"",""sequenceNumber"":19,""name"":""USER_NAME"",""type"":""ENT""},{""columnName"":""IS_PERSIST"",""sequenceNumber"":20,""name"":""IS_PERSIST"",""type"":""ENT""},{""columnName"":""CLASSIFICATION_DATE"",""sequenceNumber"":21,""name"":""CLASSIFICATION_DATE"",""type"":""ENT""},{""columnName"":""CAUSAL_ACCOUNT"",""sequenceNumber"":22,""name"":""CAUSAL_ACCOUNT"",""type"":""ENT""},{""columnName"":""CUSTOMER_BKEY"",""sequenceNumber"":23,""name"":""CUSTOMER_BKEY"",""type"":""ENT""},{""columnName"":""CUSTOMER_NAME"",""sequenceNumber"":24,""name"":""CUSTOMER_NAME"",""type"":""ENT""},{""columnName"":""CUSTOMER_TYPE_ID"",""sequenceNumber"":25,""name"":""CUSTOMER_TYPE_ID"",""type"":""ENT""},{""columnName"":""OUTSTANDING_AMT_ACY"",""sequenceNumber"":26,""name"":""OUTSTANDING_AMT_ACY"",""type"":""ENT""},{""columnName"":""SMA_REASON"",""sequenceNumber"":27,""name"":""SMA_REASON"",""type"":""ENT""},{""columnName"":""PRODUCT_TYPE_ID"",""sequenceNumber"":28,""name"":""PRODUCT_TYPE_ID"",""type"":""ENT""},{""columnName"":""RUN_ID"",""sequenceNumber"":29,""name"":""RUN_ID"",""type"":""ENT""},{""columnName"":""PRODUCT_INSTANCE_ID"",""sequenceNumber"":30,""name"":""PRODUCT_INSTANCE_ID"",""type"":""ENT""},{""columnName"":""PERIOD_ID"",""sequenceNumber"":31,""name"":""PERIOD_ID"",""type"":""ENT""},{""columnName"":""SYSTEM_IDENTIFIER"",""sequenceNumber"":32,""name"":""SYSTEM_IDENTIFIER"",""type"":""ENT""},{""columnName"":""SIGNAL_ID"",""sequenceNumber"":33,""name"":""SIGNAL_ID"",""type"":""ENT""},{""columnName"":""METRIC_ID"",""sequenceNumber"":34,""name"":""METRIC_ID"",""type"":""ENT""},{""columnName"":""DATA_SOURCE_ID"",""sequenceNumber"":35,""name"":""DATA_SOURCE_ID"",""type"":""ENT""},{""columnName"":""LOAD_EXECUTION_ID"",""sequenceNumber"":36,""name"":""LOAD_EXECUTION_ID"",""type"":""ENT""},{""columnName"":""METRIC_VALUE"",""sequenceNumber"":37,""name"":""METRIC_VALUE"",""type"":""ENT""},{""columnName"":""EWS_TAG_ID"",""sequenceNumber"":38,""name"":""EWS_TAG_ID"",""type"":""ENT""},{""columnName"":""SMA_GROUPING_ID"",""sequenceNumber"":39,""name"":""SMA_GROUPING_ID"",""type"":""ENT""},{""columnName"":""PROFILE_ID"",""sequenceNumber"":40,""name"":""PROFILE_ID"",""type"":""ENT""},{""columnName"":""CUSTOMER_ID"",""sequenceNumber"":41,""name"":""CUSTOMER_ID"",""type"":""ENT""},{""columnName"":""OUTSTANDING_AMT"",""sequenceNumber"":42,""name"":""OUTSTANDING_AMT"",""type"":""ENT""},{""columnName"":""STATUS_CHANGE_REMARKS"",""sequenceNumber"":43,""name"":""STATUS_CHANGE_REMARKS"",""type"":""ENT""},{""columnName"":""ADD_INFORMATION_REMARKS"",""sequenceNumber"":44,""name"":""ADD_INFORMATION_REMARKS"",""type"":""ENT""},{""columnName"":""IS_ACTIVE"",""sequenceNumber"":45,""name"":""IS_ACTIVE"",""type"":""ENT""}]}",
FCT_ECL_PRODUCT,Previous_internal_rating,Temporary,Formula Expression,"IF(TODATE(""FCT_ECL_PRODUCT"".""PERIOD_ID"")==TODATE(""FCT_ECL_PRODUCT"".""Internal Rating "".""PERIOD_ID""))THEN(""FCT_ECL_PRODUCT"".""Internal Rating "".""INTERNAL_RATING_ID"")ELSE(""FCT_ECL_PRODUCT"".""INTERNAL_RATING_ID"")",20-07-2026,ACTIVE,number,,
FCT_ECL_PRODUCT,Bureau score,Temporary,Formula Expression,"IF(""FCT_ECL_PRODUCT"".""EXTERNAL_RATING_ID_2""<670)THEN(""669"")ELSE(""671"")",20-07-2026,ACTIVE,number,,
FCT_ECL_PRODUCT,Internal_Rating_Down_2orMore,Temporary,Formula Expression,"IF((""FCT_ECL_PRODUCT"".""var"".""Previous_internal_rating"")-(""FCT_ECL_PRODUCT"".""INTERNAL_RATING_ID"")>2)THEN(""Y"")ELSE(""N"")",20-07-2026,ACTIVE,string,,
